Airport,Year,OpenHour,CloseHour,Capacity
AGGA,2018,0,24,999
AGGA,2019,0,24,999
AGGA,2020,0,24,999
AGGA,2021,0,24,999
AGGA,2022,0,24,999
AGGA,2023,0,24,999
AGGA,2024,0,24,999
AGGA,2025,0,24,999
AGGE,2018,0,24,999
AGGE,2019,0,24,999
AGGE,2020,0,24,999
AGGE,2021,0,24,999
AGGE,2022,0,24,999
AGGE,2023,0,24,999
AGGE,2024,0,24,999
AGGE,2025,0,24,999
AGGH,2018,0,24,999
AGGH,2019,0,24,999
AGGH,2020,0,24,999
AGGH,2021,0,24,999
AGGH,2022,0,24,999
AGGH,2023,0,24,999
AGGH,2024,0,24,999
AGGH,2025,0,24,999
AGGJ,2018,0,24,999
AGGJ,2019,0,24,999
AGGJ,2020,0,24,999
AGGJ,2021,0,24,999
AGGJ,2022,0,24,999
AGGJ,2023,0,24,999
AGGJ,2024,0,24,999
AGGJ,2025,0,24,999
AGGK,2018,0,24,999
AGGK,2019,0,24,999
AGGK,2020,0,24,999
AGGK,2021,0,24,999
AGGK,2022,0,24,999
AGGK,2023,0,24,999
AGGK,2024,0,24,999
AGGK,2025,0,24,999
AGGL,2018,0,24,999
AGGL,2019,0,24,999
AGGL,2020,0,24,999
AGGL,2021,0,24,999
AGGL,2022,0,24,999
AGGL,2023,0,24,999
AGGL,2024,0,24,999
AGGL,2025,0,24,999
AGGM,2018,0,24,999
AGGM,2019,0,24,999
AGGM,2020,0,24,999
AGGM,2021,0,24,999
AGGM,2022,0,24,999
AGGM,2023,0,24,999
AGGM,2024,0,24,999
AGGM,2025,0,24,999
AGGN,2018,0,24,999
AGGN,2019,0,24,999
AGGN,2020,0,24,999
AGGN,2021,0,24,999
AGGN,2022,0,24,999
AGGN,2023,0,24,999
AGGN,2024,0,24,999
AGGN,2025,0,24,999
AGGP,2018,0,24,999
AGGP,2019,0,24,999
AGGP,2020,0,24,999
AGGP,2021,0,24,999
AGGP,2022,0,24,999
AGGP,2023,0,24,999
AGGP,2024,0,24,999
AGGP,2025,0,24,999
AGGS,2018,0,24,999
AGGS,2019,0,24,999
AGGS,2020,0,24,999
AGGS,2021,0,24,999
AGGS,2022,0,24,999
AGGS,2023,0,24,999
AGGS,2024,0,24,999
AGGS,2025,0,24,999
AGGT,2018,0,24,999
AGGT,2019,0,24,999
AGGT,2020,0,24,999
AGGT,2021,0,24,999
AGGT,2022,0,24,999
AGGT,2023,0,24,999
AGGT,2024,0,24,999
AGGT,2025,0,24,999
AGGU,2018,0,24,999
AGGU,2019,0,24,999
AGGU,2020,0,24,999
AGGU,2021,0,24,999
AGGU,2022,0,24,999
AGGU,2023,0,24,999
AGGU,2024,0,24,999
AGGU,2025,0,24,999
AGGV,2018,0,24,999
AGGV,2019,0,24,999
AGGV,2020,0,24,999
AGGV,2021,0,24,999
AGGV,2022,0,24,999
AGGV,2023,0,24,999
AGGV,2024,0,24,999
AGGV,2025,0,24,999
ANAU,2018,0,24,999
ANAU,2019,0,24,999
ANAU,2020,0,24,999
ANAU,2021,0,24,999
ANAU,2022,0,24,999
ANAU,2023,0,24,999
ANAU,2024,0,24,999
ANAU,2025,0,24,999
AYFI,2018,0,24,999
AYFI,2019,0,24,999
AYFI,2020,0,24,999
AYFI,2021,0,24,999
AYFI,2022,0,24,999
AYFI,2023,0,24,999
AYFI,2024,0,24,999
AYFI,2025,0,24,999
AYGA,2018,0,24,999
AYGA,2019,0,24,999
AYGA,2020,0,24,999
AYGA,2021,0,24,999
AYGA,2022,0,24,999
AYGA,2023,0,24,999
AYGA,2024,0,24,999
AYGA,2025,0,24,999
AYGR,2018,0,24,999
AYGR,2019,0,24,999
AYGR,2020,0,24,999
AYGR,2021,0,24,999
AYGR,2022,0,24,999
AYGR,2023,0,24,999
AYGR,2024,0,24,999
AYGR,2025,0,24,999
AYKK,2018,0,24,999
AYKK,2019,0,24,999
AYKK,2020,0,24,999
AYKK,2021,0,24,999
AYKK,2022,0,24,999
AYKK,2023,0,24,999
AYKK,2024,0,24,999
AYKK,2025,0,24,999
AYKT,2018,0,24,999
AYKT,2019,0,24,999
AYKT,2020,0,24,999
AYKT,2021,0,24,999
AYKT,2022,0,24,999
AYKT,2023,0,24,999
AYKT,2024,0,24,999
AYKT,2025,0,24,999
AYLA,2018,0,24,999
AYLA,2019,0,24,999
AYLA,2020,0,24,999
AYLA,2021,0,24,999
AYLA,2022,0,24,999
AYLA,2023,0,24,999
AYLA,2024,0,24,999
AYLA,2025,0,24,999
AYMD,2018,0,24,999
AYMD,2019,0,24,999
AYMD,2020,0,24,999
AYMD,2021,0,24,999
AYMD,2022,0,24,999
AYMD,2023,0,24,999
AYMD,2024,0,24,999
AYMD,2025,0,24,999
AYMH,2018,0,24,999
AYMH,2019,0,24,999
AYMH,2020,0,24,999
AYMH,2021,0,24,999
AYMH,2022,0,24,999
AYMH,2023,0,24,999
AYMH,2024,0,24,999
AYMH,2025,0,24,999
AYMO,2018,0,24,999
AYMO,2019,0,24,999
AYMO,2020,0,24,999
AYMO,2021,0,24,999
AYMO,2022,0,24,999
AYMO,2023,0,24,999
AYMO,2024,0,24,999
AYMO,2025,0,24,999
AYMS,2018,0,24,999
AYMS,2019,0,24,999
AYMS,2020,0,24,999
AYMS,2021,0,24,999
AYMS,2022,0,24,999
AYMS,2023,0,24,999
AYMS,2024,0,24,999
AYMS,2025,0,24,999
AYNZ,2018,0,24,999
AYNZ,2019,0,24,999
AYNZ,2020,0,24,999
AYNZ,2021,0,24,999
AYNZ,2022,0,24,999
AYNZ,2023,0,24,999
AYNZ,2024,0,24,999
AYNZ,2025,0,24,999
AYPY,2018,0,24,999
AYPY,2019,0,24,999
AYPY,2020,0,24,999
AYPY,2021,0,24,999
AYPY,2022,0,24,999
AYPY,2023,0,24,999
AYPY,2024,0,24,999
AYPY,2025,0,24,999
AYRB,2018,0,24,999
AYRB,2019,0,24,999
AYRB,2020,0,24,999
AYRB,2021,0,24,999
AYRB,2022,0,24,999
AYRB,2023,0,24,999
AYRB,2024,0,24,999
AYRB,2025,0,24,999
AYTA,2018,0,24,999
AYTA,2019,0,24,999
AYTA,2020,0,24,999
AYTA,2021,0,24,999
AYTA,2022,0,24,999
AYTA,2023,0,24,999
