Airport,Year,OpenHour,CloseHour,Capacity,OpeHour1,CloseHour2
FEFF,,05:00,22:00,999,05:00,22:00
LEBB,,04:45,21:30,999,04:45,21:30
LFBD,,04:00,21:00,999,04:00,21:00
EDDW,,04:00,20:30,999,04:00,20:30
LFSB,,04:00,22:00,999,04:00,22:00
LFPG,,04:15,21:30,999,04:00,21:15
EDDF,,04:00,21:00,999,04:00,21:00
LSGG,,04:00,22:00,999,04:00,22:00
EDDH,,04:00,21:00,999,04:00,21:00
EGLL,,05:00,22:30,999,05:00,22:30
LPPT,,04:00,22:00,999,04:00,22:00
EGGW,,05:00,22:00,999,05:00,22:00
LFLL,,04:15,20:15,999,04:00,20:00
LFML,,04:15,21:15,999,04:00,22:45
EDDM,,03:00,22:00,999,04:00,20:00
LFMN,,04:15,21:30,999,04:00,21:15
RJAA,,12:00,05:00,999,12:00,05:00
LFRS,,03:00,20:30,999,03:00,20:30
LPPR,,04:00,22:00,999,04:00,22:00
LFPO,,04:15,21:30,999,04:00,21:15
LFBP,,04:00,21:00,999,04:00,21:00
EGHI,,05:00,22:00,999,05:00,22:00
EDDS,,04:00,21:30,999,04:00,21:00
LEZL,,04:30,23:00,999,04:30,23:00
LIMF,,04:00,21:00,999,04:00,21:00
EDDT,,04:00,21:30,999,04:00,21:00
EPWA,,03:30,21:30,999,03:30,21:30
CYUL,,10:00,02:30,999,10:00,03:00
LSZH,,04:00,22:00,999,04:00,22:00
