RegulationID,Capacity,StartTimestamp,EndTimestamp,ReferenceLocationName,ReferenceLocationType,ReferenceLocationRole,SlotWindowWidth,SlotSliceWidth
EBBRA04,12,2019-08-04T22:00:00.000Z,2019-08-05T04:00:00.000Z,EBBR/MB,AZ,A,10,20
EBBRA31A,33,2019-07-31T17:20:00.000Z,2019-07-31T19:20:00.000Z,EBBR/MB,AZ,A,6,20
EBBRA26,30,2019-07-26T06:00:00.000Z,2019-07-26T07:40:00.000Z,EBBR/MB,AZ,A,6,20
EBBRA25,28,2019-07-25T05:00:00.000Z,2019-07-25T09:00:00.000Z,EBBR/MB,AZ,A,10,20
EBBRA25A,30,2019-07-25T17:00:00.000Z,2019-07-25T18:40:00.000Z,EBBR/MB,AZ,A,6,20
EBBRA23,30,2019-07-23T17:00:00.000Z,2019-07-23T19:00:00.000Z,EBBR/MB,AZ,A,10,20
EBBRMG21,0,2019-07-21T14:04:00.000Z,2019-07-21T14:28:00.000Z,EBBR/MB,AZ,G,10,20
EDGFA11A,59,2019-08-11T16:40:00.000Z,2019-08-11T19:00:00.000Z,EDDF,AD,A,6,20
EDDFA12A,49,2019-08-12T16:40:00.000Z,2019-08-12T17:00:00.000Z,EDDF,AD,A,6,20
EDDFA12A,15,2019-08-12T17:00:00.000Z,2019-08-12T18:09:00.000Z,EDDF,AD,A,6,20
EDGFA09A,30,2019-08-09T17:30:00.000Z,2019-08-09T18:20:00.000Z,EDDF,AD,A,6,20
EDGFA09A,50,2019-08-09T19:30:00.000Z,2019-08-09T19:43:00.000Z,EDDF,AD,A,6,20
EDGFA09A,43,2019-08-09T16:30:00.000Z,2019-08-09T17:30:00.000Z,EDDF,AD,A,6,20
EDGFA09A,43,2019-08-09T18:20:00.000Z,2019-08-09T19:30:00.000Z,EDDF,AD,A,6,20
EDDFA07E,55,2019-08-07T07:20:00.000Z,2019-08-07T08:39:00.000Z,EDDF,AD,A,10,20
EDDFA07E,30,2019-08-07T06:30:00.000Z,2019-08-07T07:20:00.000Z,EDDF,AD,A,10,20
EDGFA06L,36,2019-08-06T16:57:00.000Z,2019-08-06T21:00:00.000Z,EDDF,AD,A,10,20
EDGFA06L,47,2019-08-06T16:40:00.000Z,2019-08-06T16:57:00.000Z,EDDF,AD,A,10,20
EDDFA07E,44,2019-08-07T04:40:00.000Z,2019-08-07T06:30:00.000Z,EDDF,AD,A,10,20
EDGFA06A,48,2019-08-06T12:40:00.000Z,2019-08-06T14:27:00.000Z,EDDF,AD,A,6,20
EDDFA02,60,2019-08-02T15:50:00.000Z,2019-08-02T16:19:00.000Z,EDDF,AD,A,10,20
EDDFA02,35,2019-08-02T13:00:00.000Z,2019-08-02T15:00:00.000Z,EDDF,AD,A,10,20
EDDFA02,42,2019-08-02T15:00:00.000Z,2019-08-02T15:50:00.000Z,EDDF,AD,A,10,20
EDDFA28A,43,2019-07-28T12:20:00.000Z,2019-07-28T20:00:00.000Z,EDDF,AD,A,6,20
EDDFA28A,60,2019-07-28T20:00:00.000Z,2019-07-28T20:24:00.000Z,EDDF,AD,A,6,20
EDDFA26,40,2019-07-26T15:40:00.000Z,2019-07-26T16:20:00.000Z,EDDF,AD,A,6,20
EDDFA26,45,2019-07-26T16:20:00.000Z,2019-07-26T17:30:00.000Z,EDDF,AD,A,6,20
EDDFA26,56,2019-07-26T17:30:00.000Z,2019-07-26T18:58:00.000Z,EDDF,AD,A,6,20
EDDFA27A,51,2019-07-27T12:20:00.000Z,2019-07-27T15:40:00.000Z,EDDF,AD,A,6,20
EDDFA19A,55,2019-07-19T17:00:00.000Z,2019-07-19T19:40:00.000Z,EDDF,AD,A,6,20
EDGFD02A,38,2019-08-02T12:21:00.000Z,2019-08-02T14:23:00.000Z,EDDF,AD,D,10,20
EDGFD02A,47,2019-08-02T12:02:00.000Z,2019-08-02T12:21:00.000Z,EDDF,AD,D,10,20
EDDGG26,0,2019-07-26T16:10:00.000Z,2019-07-26T17:19:00.000Z,EDDG,AD,G,10,20
