RegulationID,Capacity,StartTimestamp,EndTimestamp,ReferenceLocationName,ReferenceLocationType,ReferenceLocationRole,SlotWindowWidth,SlotSliceWidth,month,day_start,day_end,min_start,min_end,start,end,duration,initial_capacity,actual_capacity,actual_capacity_mean,n_flights,capacity_reduction,capacity_reduction_mean
EBBRA17A,30,2019-07-17T17:00:00.000Z,2019-07-17T19:00:00.000Z,EBBR,AZ,A,10,20,7,0,0,1020,1140,1020,1140,120,48,22,22.243243243243242,27,0.5416666666666666,0.5365990990990991
EBBRA15,48,2019-07-15T06:00:00.000Z,2019-07-15T07:00:00.000Z,EBBR,AZ,A,6,20,7,1,1,360,420,1800,1860,60,48,40,41.36842105263158,25,0.16666666666666666,0.13815789473684204
EBBRA14,30,2019-07-14T17:00:00.000Z,2019-07-14T19:20:00.000Z,EBBR,AZ,A,10,20,7,2,2,1020,1160,3900,4040,140,48,21,24.869565217391305,30,0.5625,0.48188405797101447
EBBRA09,32,2019-07-09T17:00:00.000Z,2019-07-09T18:40:00.000Z,EBBR,AZ,A,6,20,7,3,3,1020,1120,5340,5440,100,48,20,16.941176470588236,15,0.5833333333333334,0.6470588235294118
EBBRA07,24,2019-07-07T12:00:00.000Z,2019-07-07T15:00:00.000Z,EBBR,AZ,A,10,20,7,4,4,720,900,6480,6660,180,48,12,13.5,13,0.75,0.71875
EBBRA08,22,2019-07-08T11:40:00.000Z,2019-07-08T15:50:00.000Z,EBBR,AZ,A,6,20,7,5,5,700,950,7900,8150,250,48,6,8.84,18,0.875,0.8158333333333333
EBBRA04,32,2019-07-04T05:40:00.000Z,2019-07-04T08:00:00.000Z,EBBR,AZ,A,10,20,7,6,6,340,480,8980,9120,140,48,3,7.515151515151516,35,0.9375,0.8434343434343434
EBBRA06,24,2019-07-06T13:00:00.000Z,2019-07-06T15:00:00.000Z,EBBR,AZ,A,10,20,7,7,7,780,900,10860,10980,120,48,5,14.333333333333334,2,0.8958333333333334,0.7013888888888888
EBBRA03,30,2019-07-03T05:40:00.000Z,2019-07-03T08:20:00.000Z,EBBR,AZ,A,10,20,7,8,8,340,500,11860,12020,160,48,25,36.049180327868854,46,0.4791666666666667,0.24897540983606556
EBBRA03L,30,2019-07-03T17:00:00.000Z,2019-07-03T19:30:00.000Z,EBBR,AZ,A,10,20,7,8,8,1020,1170,12540,12690,150,48,20,23.818181818181817,29,0.5833333333333334,0.5037878787878788
EBBRA02L,30,2019-07-02T16:00:00.000Z,2019-07-02T19:00:00.000Z,EBBR,AZ,A,10,20,7,9,9,960,1140,13920,14100,180,48,12,11.212121212121213,21,0.75,0.7664141414141414
EBBRA27E,30,2019-06-27T05:40:00.000Z,2019-06-27T08:20:00.000Z,EBBR,AZ,A,10,20,7,10,10,340,500,14740,14900,160,48,23,25.49122807017544,46,0.5208333333333334,0.4689327485380117
