airline,frequency,low_cost
DLH,20263,False
RYR,18326,True
KLM,12940,False
EZY,11024,True
BAW,11021,False
THY,10817,False
VLG,10576,True
EWG,9883,True
EJU,8729,False
AFR,8662,False
SWR,8640,False
TAP,8137,False
AUA,8036,False
SAS,5955,False
IBE,4633,False
BEL,4457,False
AEE,4239,False
AEA,3778,False
IBK,3713,False
OAL,3707,False
NAX,3144,True
AZA,3034,False
EXS,3015,True
LDM,2996,False
TRA,2852,True
EIN,2581,False
TOM,2493,False
WZZ,2406,True
ANE,2343,False
CFG,2310,True
SEH,2143,False
IBS,1867,False
TVF,1785,True
TCX,1730,False
SXS,1703,True
PGT,1623,True
TUI,1541,True
BEE,1259,True
JAF,1247,True
LOT,1120,False
CTN,1049,False
ELY,945,False
DAH,941,False
FIN,933,False
RAM,911,False
EDW,904,False
ASL,850,False
SHT,846,False
FOO,832,False
AUI,808,False
NJE,787,False
EZS,759,True
ROT,758,False
BTI,730,False
ADR,700,False
ZZZ,673,False
TAR,646,False
TFL,632,False
MSR,625,False
VOE,597,True
CFE,583,False
CSA,547,False
BCS,499,False
LGL,489,False
DLA,464,False
AMC,458,False
KKK,454,True
BMS,443,True
CAI,437,True
SXD,426,True
VKG,414,False
CCM,409,False
MEA,383,False
OHY,375,True
FPO,373,False
LZB,335,False
AAF,323,False
CND,310,False
SWT,307,False
ICE,304,False
BRU,303,False
LBT,299,False
GSW,277,False
MAC,270,True
ENT,265,False
JTG,242,False
AUR,242,False
MGX,227,False
VJT,221,False
AHO,217,False
TVS,210,True
ELB,203,False
TWI,197,False
FHY,197,False
RZO,187,False
HOP,186,False
MLD,183,False
TAY,173,False
GES,172,False
NOS,172,False
BUC,167,False
FDX,162,False
AZI,159,False
LAV,151,False
BLX,150,False
ABR,150,False
NVR,146,False
AOJ,124,False
WIF,120,False
LOG,120,False
GAC,118,False
ETH,115,False
ISS,113,True
TGZ,105,False
WUK,103,False
ERN,102,False
BPA,99,True
AIZ,98,False
MSC,95,False
MDF,95,False
PEV,91,False
SQP,83,False
AAB,82,False
PVG,80,False
CYP,76,False
CXI,76,False
OTF,75,False
AWC,71,False
FEG,69,False
DCA,64,False
YUP,63,False
AXY,62,False
SRR,62,False
KAL,62,False
JFA,61,False
LAN,61,False
SUS,61,False
OEF,60,False
MNB,59,False
LDX,59,False
RYS,58,False
XRO,56,False
ABW,55,False
OEG,53,False
FLI,51,False
BGH,51,False
AAR,50,False
EVE,49,False
MAB,47,False
DTR,46,False
CAZ,45,False
HBJ,45,False
FYG,45,False
EFD,44,False
LXG,44,False
HHN,43,False
ECA,43,False
SCW,42,False
JME,41,False
STK,41,False
SIO,41,False
OLY,40,False
LNX,40,False
SVW,39,False
VPB,39,False
EDC,39,False
TJT,39,False
AZE,38,False
VAW,38,False
SDR,38,False
VPC,38,False
MOZ,38,False
TVP,37,False
OAW,37,True
IJM,36,False
TDR,35,False
NPT,35,False
MHV,35,False
AWT,35,True
BRO,34,False
QGA,33,False
SXN,33,False
CLF,33,False
GNJ,32,False
ORO,31,False
KAY,31,False
SAH,31,False
FIA,30,False
OEI,29,False
AXG,29,False
EZE,29,False
RWD,28,False
JNK,28,False
ABN,28,False
FLJ,28,False
RGN,28,False
DCS,28,False
JDI,27,False
HBV,27,False
GEC,26,False
CLG,26,False
BZE,26,False
ABP,26,False
GDE,26,False
QTR,26,False
ATL,26,False
SIA,25,False
OEH,25,False
SCR,25,False
NCA,24,False
WRC,24,False
MLT,24,False
IFA,24,False
HTM,23,False
AWU,23,False
BOX,23,False
LLK,22,False
BVR,22,False
GWI,22,True
HBF,22,False
KLJ,22,False
MMD,21,False
LMU,21,False
IFM,20,False
ENZ,20,False
YUB,20,False
NMA,20,False
TOY,20,False
ISR,20,False
LWG,19,False
IBB,19,False
IAW,19,False
GRV,18,False
SPG,18,False
ITO,18,False
LXA,18,False
XRC,18,False
LRQ,18,False
DFC,17,False
AJU,17,False
VLJ,17,False
CTM,17,False
TIE,17,False
PAV,17,False
XGO,17,False
WGT,17,False
GLJ,17,False
KJE,16,False
VND,16,False
DIB,16,False
DIG,16,False
CPA,16,False
YUS,16,False
SUA,16,False
DCI,16,False
EUW,16,False
FYL,16,False
KFE,16,False
PNC,16,False
GDK,16,False
DCE,16,False
HYP,16,False
STQ,15,False
DIS,15,False
QNR,15,False
CRL,15,False
HBL,15,False
TCA,14,False
JBC,14,False
PWF,14,False
GMA,14,False
VIR,14,False
CSC,14,False
LPA,14,False
NIA,13,False
VVV,13,False
SXE,13,False
APF,13,False
HFM,13,False
DIC,13,False
PHM,13,False
AMQ,13,False
FXT,13,False
MPI,13,False
OOP,13,False
ICV,12,False
VSR,12,False
EAU,12,False
GJT,12,False
HAT,12,False
VQB,12,False
PIA,12,False
UAE,12,False
TEU,12,False
DIT,12,False
SSR,12,False
JKH,12,False
NSK,12,False
ADN,12,False
WLB,12,False
MIN,12,False
UPS,12,False
DIO,12,False
TJS,11,False
HRN,11,False
OOM,11,True
DIJ,11,False
OON,11,False
UTN,11,False
TWY,11,False
DCP,11,False
DCD,11,False
CSN,11,False
OOA,11,False
BAH,10,False
XJC,10,False
DIP,10,False
EJM,10,False
FTY,10,False
DIH,10,False
MJF,10,False
TES,10,False
VCJ,10,False
BOH,10,False
DAB,10,False
SOW,10,False
DIE,9,False
DFL,9,False
TCM,9,False
RJA,9,False
DAS,9,False
JEF,9,False
HBP,9,False
NFA,9,False
SRN,9,False
DCB,9,False
OKH,9,False
ETI,9,False
GAG,9,False
ASJ,9,False
VCG,9,False
KRP,9,False
ECL,9,False
TVL,8,True
GJI,8,False
JSH,8,False
TCS,8,False
MNT,8,False
ELJ,8,False
BMW,8,False
OMC,8,False
SPA,8,False
CLX,8,False
JEI,8,False
JAR,8,False
AKK,8,False
GCK,8,False
AYY,8,False
SJT,8,False
ICC,8,False
MPH,8,False
PEA,8,False
MSX,7,False
ATV,7,False
KLC,7,False
AZG,7,False
DBE,7,False
OOS,7,False
JET,7,True
BAF,7,False
TCT,7,False
QSM,7,False
YUT,7,False
MLW,7,False
RRR,7,False
LCO,7,False
NWG,7,False
PHT,7,False
AQS,7,False
LUC,7,False
HUA,7,False
TCG,7,False
MJE,7,False
OEE,7,False
OKA,7,False
XAA,7,False
JLN,7,False
QQE,7,False
VCN,6,False
TCE,6,False
