airport,airline,frequency,low_cost
EGLL,BAW,11724,False
EGLL,SHT,2137,False
EGLL,EIN,1280,False
EGLL,BEE,821,True
EGLL,EWG,778,True
EGLL,DLH,598,False
EGLL,DAL,499,False
EGLL,KLM,482,False
EGLL,UAL,446,False
EGLL,SWR,367,False
EGLL,AFR,321,False
EGLL,IBE,309,False
EGLL,AZA,297,False
EGLL,TAP,233,False
EGLL,AFL,227,False
EGLL,AUA,225,False
EGLL,FIN,225,False
EGLL,AEE,178,False
EGLL,BEL,160,False
EGLL,SAS,153,False
EGLL,ASL,133,False
EGLL,ICE,115,False
EGLL,MEA,112,False
EGLL,THY,109,False
EGLL,AMC,87,False
EGLL,LOT,78,False
EGLL,RAM,67,False
EGLL,MSR,59,False
EGLL,ACA,57,False
EGLL,VLG,56,True
EGLL,DAH,54,False
EGLL,KZR,50,False
EGLL,CCA,47,False
EGLL,LZB,40,False
EGLL,GCR,36,False
EGLL,CTN,33,False
EGLL,TAR,32,False
EGLL,IRA,24,False
EGLL,CBJ,24,False
EGLL,CSN,18,False
EGLL,SIA,16,False
EGLL,QTR,11,False
EGLL,UZB,8,False
EGLL,CPA,8,False
EGLL,RJA,8,False
EGLL,BCS,8,False
EGLL,AAL,7,False
EGLL,QAF,7,False
EGLL,ABW,6,False
EGLL,ZZZ,6,False
EGLL,QQQ,3,False
EGLL,GIA,3,False
EGLL,SVA,3,False
EGLL,KAC,3,False
EGLL,ELY,2,False
EGLL,AHY,2,False
EGLL,KRF,2,False
EGLL,BAH,1,False
EGLL,LLL,1,False
EGLL,RRF,1,False
EGLL,AAA,1,False
EGLL,JEP,1,False
EGLL,PPP,1,False
EGLL,OOO,1,False
EGLL,CCC,1,False
EGLL,YYY,1,False
EGLL,ROU,1,False
EGLL,MMM,1,False
EGLL,VPB,1,False
LFPG,AFR,12064,False
LFPG,EJU,2169,False
LFPG,VLG,1155,True
LFPG,DLH,685,False
LFPG,EZY,582,True
LFPG,FPO,550,False
LFPG,DAH,534,False
LFPG,DAL,508,False
LFPG,FDX,372,False
LFPG,BAW,360,False
LFPG,AEA,354,False
LFPG,LBT,332,False
LFPG,AUA,322,False
LFPG,THY,318,False
LFPG,AEE,317,False
LFPG,JAF,315,True
LFPG,KLM,298,False
LFPG,FIN,282,False
LFPG,AZA,281,False
LFPG,AFL,280,False
LFPG,SAS,280,False
LFPG,EIN,273,False
LFPG,EWG,248,True
LFPG,BEE,230,True
LFPG,LGL,226,False
LFPG,BCS,192,False
LFPG,NAX,191,True
LFPG,BEL,179,False
LFPG,ENT,166,False
LFPG,ICE,163,False
LFPG,XLF,157,False
LFPG,CSA,150,False
LFPG,ABR,142,False
LFPG,RAM,141,False
LFPG,CTN,128,False
LFPG,ASL,125,False
LFPG,MEA,116,False
LFPG,IBS,114,False
LFPG,AUI,114,False
LFPG,AAL,110,False
LFPG,LOT,104,False
LFPG,TSC,92,False
LFPG,TVS,90,True
LFPG,AAF,83,False
LFPG,UPS,80,False
LFPG,TAY,79,False
LFPG,NPT,76,False
LFPG,CCA,76,False
LFPG,SWR,75,False
LFPG,MAC,71,True
LFPG,MSR,62,False
LFPG,AMC,60,False
LFPG,SRR,59,False
LFPG,RJA,59,False
LFPG,GFA,58,False
LFPG,SDM,57,False
LFPG,KKK,57,True
LFPG,ELY,57,False
LFPG,ACA,56,False
LFPG,LZB,55,False
LFPG,FOO,54,False
LFPG,SXS,52,True
LFPG,CES,50,False
LFPG,REU,48,False
LFPG,OHY,46,True
LFPG,ROT,45,False
LFPG,UAL,37,False
LFPG,SQP,33,False
LFPG,SWT,32,False
LFPG,KAC,32,False
LFPG,TAR,31,False
LFPG,ANE,26,False
LFPG,KZR,24,False
LFPG,TVF,24,True
LFPG,AHY,24,False
LFPG,MAR,23,False
LFPG,TCV,23,False
LFPG,FLI,20,False
LFPG,FIA,20,False
