airline,num flights,initial costs,final costs,reduction %,run,model
total,50,18654.56,5152.779999999999,72.38,0,mincost
C,9,2096.39,917.81,56.22,0,mincost
B,13,3668.73,1348.98,63.23,0,mincost
A,17,4226.19,1318.1,68.81,0,mincost
E,3,4740.849999999999,478.59,89.9,0,mincost
D,7,3728.6000000000004,910.2199999999999,75.59,0,mincost
F,1,193.8,179.08,7.6,0,mincost
total,50,18654.56,5152.779999999999,72.38,0,nnbound
C,9,2096.39,917.81,56.22,0,nnbound
B,13,3668.73,1348.98,63.23,0,nnbound
A,17,4226.19,1318.1,68.81,0,nnbound
E,3,4740.849999999999,478.59,89.9,0,nnbound
D,7,3728.6000000000004,910.2199999999999,75.59,0,nnbound
F,1,193.8,179.08,7.6,0,nnbound
total,50,18654.56,5947.329999999999,68.12,0,udpp
C,9,2096.39,806.4499999999998,61.53,0,udpp
B,13,3668.73,2143.1,41.58,0,udpp
A,17,4226.19,1281.5,69.68,0,udpp
E,3,4740.849999999999,381.36,91.96,0,udpp
D,7,3728.6000000000004,1141.12,69.4,0,udpp
F,1,193.8,193.8,0.0,0,udpp
total,50,5947.330000000002,5472.189999999999,70.67,0,istop
C,9,806.4499999999999,726.3299999999999,65.35,0,istop
A,17,1281.5,1144.27,72.92,0,istop
B,13,2143.1,1976.1400000000003,46.14,0,istop
D,7,1141.12,1050.2900000000002,71.83,0,istop
E,3,381.36,381.36,91.96,0,istop
F,1,193.8,193.8,0.0,0,istop
total,50,66585.87000000001,6341.360000000001,90.48,1,mincost
A,16,9499.539999999999,1390.95,85.36,1,mincost
F,2,36.86,602.79,-1535.35,1,mincost
B,13,22016.989999999998,2029.62,90.78,1,mincost
C,9,2744.5499999999997,1530.36,44.24,1,mincost
E,3,26579.36,222.45999999999998,99.16,1,mincost
D,7,5708.57,565.18,90.1,1,mincost
total,50,66585.87000000001,6470.32,90.28,1,nnbound
A,16,9499.539999999999,1932.4699999999998,79.66,1,nnbound
F,2,36.86,33.34,9.55,1,nnbound
B,13,22016.989999999998,2089.1099999999997,90.51,1,nnbound
C,9,2744.5499999999997,1681.9199999999998,38.72,1,nnbound
E,3,26579.36,222.45999999999998,99.16,1,nnbound
D,7,5708.57,511.02,91.05,1,nnbound
total,50,66585.87000000001,13362.109999999999,79.93,1,udpp
A,16,9499.539999999999,1390.2899999999997,85.36,1,udpp
F,2,36.86,24.18,34.4,1,udpp
